image_id,healthy,multiple_diseases,rust,scab
Train_0,0.08263665,0.01679094,0.0038931656,0.8966792
Train_1,0.04489606,0.45111772,0.42979047,0.07419576
Train_2,0.98660153,0.0007392711,0.00032963516,0.012329525
Train_3,0.0023438274,0.0025000905,0.9947212,0.0004348933
Train_4,0.900083,0.019750828,0.011311151,0.06885498
Train_5,0.73432314,0.0055663995,0.00043950905,0.25967094
Train_6,0.008353758,0.72941756,0.065480396,0.19674832
Train_7,0.010087738,0.0029362084,0.00022569217,0.9867504
Train_8,0.013872221,0.0074207736,0.0004470519,0.9782599
Train_9,0.07364231,0.018221067,0.0016293688,0.90650725
Train_10,0.0025216194,0.003871933,0.99316835,0.0004380353
Train_11,0.016868317,0.055865943,0.0041668518,0.9230989
Train_12,0.009962897,0.0028537058,9.4302835e-05,0.9870891
Train_13,0.9870842,0.0037687349,0.002704915,0.0064421273
Train_14,0.0010470632,0.0077252802,0.99043185,0.0007958119
Train_15,0.0078564575,0.005829938,0.98572135,0.00059222156
Train_16,0.01221034,0.007836022,0.00021686674,0.97973675
Train_17,0.011059612,0.0037832605,0.0003251435,0.984832
Train_18,0.9871185,0.0017005105,0.008342823,0.0028382223
Train_19,0.03435034,0.003723966,0.0009249122,0.96100074
Train_20,0.0075571775,0.051202986,0.0014032098,0.9398367
Train_21,0.0015999577,0.0080486955,0.98941654,0.0009347229
Train_22,0.13241747,0.72944957,0.06658444,0.07154849
Train_23,0.9111789,0.03040261,0.049859248,0.008559374
Train_24,0.98822045,0.0026468036,0.0031817972,0.0059509305
Train_25,0.006169943,0.027639197,0.0024138503,0.963777
Train_26,0.006332194,0.024369903,0.9671581,0.002139823
Train_27,0.62374604,0.0637568,0.021068558,0.29142857
Train_28,0.1892855,0.002980822,0.001081338,0.80665237
Train_29,0.014913997,0.001647266,0.00081484206,0.9826239
Train_30,0.010109339,0.0038282252,0.00014321254,0.98591924
Train_31,0.0023435196,0.017695827,0.97766155,0.0022991125
Train_32,0.0051885946,0.021480815,0.0015334517,0.9717971
